part,event,ID,mother,daughter1,daughter2,Px,Py,Pz,E,X,Y,Z,T,i1,i2,i3
1199,2,-521,0,9,12,-0.0998,0.2384,2.3616,5.789,0.5223,0.0695,-1.5447,-0.249,55,0,46
1200,3,333,1,5,6,-0.6777,-0.5103,-1.2929,1.8538,0.5664,0.0313,-1.2039,0.6647,55,0,46
1201,4,10321,1,7,8,0.9533,0.2719,3.4201,3.8494,0.5664,0.0313,-1.2039,0.6647,55,0,46
1202,5,321,3,29,29,-0.3001,-0.174,-0.4433,0.7487,0.5664,0.0313,-1.2039,0.6647,55,0,46
1203,6,-321,3,30,33,-0.3776,-0.3363,-0.8497,1.1051,0.5664,0.0313,-1.2039,0.6647,55,0,46
1204,7,310,4,34,35,0.4074,0.7288,2.4675,2.652,0.5664,0.0313,-1.2039,0.6647,55,0,46
1205,8,211,4,36,38,0.5459,-0.4569,0.9526,1.1974,0.5664,0.0313,-1.2039,0.6647,55,0,46
1206,9,423,2,13,14,0.1492,1.5287,0.4348,2.5644,0.4762,0.1794,-0.4559,2.42,55,0,46
1207,10,111,2,18,19,0.3805,-0.1435,0.2086,0.4765,0.4762,0.1794,-0.4559,2.42,55,0,46
1208,11,-213,2,20,21,-0.0913,0.0938,0.1496,0.5324,0.4762,0.1794,-0.4559,2.42,55,0,46
1209,12,223,2,24,26,-0.5383,-1.2407,1.5687,2.2157,0.4762,0.1794,-0.4559,2.42,55,0,46
1210,13,421,9,15,17,0.1854,1.4946,0.5319,2.4554,0.4762,0.1794,-0.4559,2.42,55,0,46
1211,14,22,9,39,40,-0.0361,0.0341,-0.0971,0.109,0.4762,0.1794,-0.4559,2.42,55,0,46
1212,15,-321,13,41,42,-0.4203,0.1891,0.4589,0.8165,0.5001,0.3714,-0.3875,2.7354,55,0,46
1213,16,-11,13,43,46,-0.0056,0.1998,-0.2641,0.3312,0.5001,0.3714,-0.3875,2.7354,55,0,46
1214,17,12,13,-1,-1,0.6113,1.1058,0.3371,1.3077,0.5001,0.3714,-0.3875,2.7354,55,0,46
1215,18,22,10,-1,-1,0.3037,-0.1347,0.1073,0.3491,0.4762,0.1794,-0.4559,2.42,55,0,46
1216,19,22,10,-1,-1,0.0768,-0.0088,0.1013,0.1275,0.4762,0.1794,-0.4559,2.42,55,0,46
1217,20,-211,11,-1,-1,0.1337,0.0551,-0.042,0.2053,0.4762,0.1794,-0.4559,2.42,55,0,46
1218,21,111,11,22,23,-0.2249,0.0387,0.1916,0.3271,0.4762,0.1794,-0.4559,2.42,55,0,46
1219,22,22,21,-1,-1,-0.1001,-0.0065,0.1629,0.1913,0.4762,0.1794,-0.4559,2.42,55,0,46
1220,23,22,21,47,48,-0.1248,0.0453,0.0287,0.1358,0.4762,0.1794,-0.4559,2.42,55,0,46
1221,24,-211,12,-1,-1,-0.1693,-0.2075,0.5479,0.6256,0.4762,0.1794,-0.4559,2.42,55,0,46
1222,25,211,12,49,50,-0.0021,-0.6689,0.5334,0.8669,0.4762,0.1794,-0.4559,2.42,55,0,46
1223,26,111,12,27,28,-0.3669,-0.3642,0.4874,0.7232,0.4762,0.1794,-0.4559,2.42,55,0,46
1224,27,22,26,-1,-1,-0.0941,-0.1795,0.1543,0.2547,0.4762,0.1794,-0.4559,2.42,55,0,46
1225,28,22,26,51,52,-0.2728,-0.1847,0.3331,0.4685,0.4762,0.1794,-0.4559,2.42,55,0,46
1226,0,300553,-1,1,2,0.1759,0,4.4965,11.4968,0.275,0.0753,-9.4045,-1.5602,55,0,47
1227,1,521,0,3,5,-0.2225,0.0367,2.3808,5.7955,0.275,0.0753,-9.4045,-1.5602,55,0,47
1228,2,-521,0,18,19,0.3985,-0.0367,2.1157,5.7013,0.275,0.0753,-9.4045,-1.5602,55,0,47
1229,3,213,1,6,7,1.0031,-0.1915,0.4608,1.493,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1230,4,-4122,1,10,13,-0.8834,0.6652,0.8533,2.6793,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1231,5,2214,1,16,17,-0.3422,-0.437,1.0667,1.6232,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1232,6,211,3,24,25,1.1776,-0.1739,0.3808,1.2576,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1233,7,111,3,8,9,-0.1745,-0.0176,0.0801,0.2354,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1234,8,22,7,-1,-1,-0.1579,0.0375,0.047,0.1689,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1235,9,22,7,26,26,-0.0167,-0.0552,0.0331,0.0664,0.2403,0.0811,-9.0325,-0.6548,55,0,47
1236,10,-2212,4,27,31,-0.9525,0.3843,0.6933,1.5543,0.2323,0.087,-9.0248,-0.6308,55,0,47
1237,11,321,4,32,32,0.1995,0.1227,-0.0193,0.5468,0.2323,0.087,-9.0248,-0.6308,55,0,47
1238,12,-211,4,33,34,0.1226,0.003,-0.0337,0.1888,0.2323,0.087,-9.0248,-0.6308,55,0,47
1239,13,111,4,14,15,-0.253,0.1551,0.213,0.3894,0.2323,0.087,-9.0248,-0.6308,55,0,47
1240,14,22,13,-1,-1,-0.2204,0.1486,0.2305,0.3518,0.2323,0.087,-9.0248,-0.6308,55,0,47
